Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
SourcererCC: Scalable and Accurate Clone Detection,Code Clone Analysis,,,,10.1007/978-981-16-1927-4_4,Hitesh SajnaniVaibhav SainiChanchal K. RoyCristina Lopes,2021,http://link.springer.com/chapter/10.1007/978-981-16-1927-4_4,Chapter
Code Similarity in Clone Detection,Code Clone Analysis,,,,10.1007/978-981-16-1927-4_10,Jens KrinkeChaiyong Ragkhitwetsagul,2021,http://link.springer.com/chapter/10.1007/978-981-16-1927-4_10,Chapter
Finding Code-Clone Snippets in Large Source-Code Collection by ccgrep,Open Source Systems,,,,10.1007/978-3-030-75251-4_3,Katsuro InoueYuya MiyamotoDaniel M. GermanTakashi Ishio,2021,http://link.springer.com/chapter/10.1007/978-3-030-75251-4_3,Chapter
Semantic Clone Detection via Probabilistic Software Modeling,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-030-99429-7_16,Hannes ThallerLukas LinsbauerAlexander Egyed,2022,http://link.springer.com/chapter/10.1007/978-3-030-99429-7_16,Chapter
Path context augmented statement and network for learning programs,Empirical Software Engineering,,27.0,2.0,10.1007/s10664-021-10098-y,Da XiaoDengji HangLu AiShengping LiHongliang Liang,2022,http://link.springer.com/article/10.1007/s10664-021-10098-y,Article
Oreo: Scaling Clone Detection Beyond Near-Miss Clones,Code Clone Analysis,,,,10.1007/978-981-16-1927-4_5,Vaibhav SainiFarima FarmahinifarahaniHitesh SajnaniCristina Lopes,2021,http://link.springer.com/chapter/10.1007/978-981-16-1927-4_5,Chapter
Comprehending Code Fragment in Code Clones: A Literature-Based Perspective,Proceedings of ICRIC 2019,,,,10.1007/978-3-030-29407-6_56,Sarveshwar BhartiHardeep Singh,2020,http://link.springer.com/chapter/10.1007/978-3-030-29407-6_56,Chapter
Combining Holistic Source Code Representation with Siamese Neural Networks for Detecting Code Clones,Testing Software and Systems,,,,10.1007/978-3-031-04673-5_12,Smit PatelRoopak Sinha,2022,http://link.springer.com/chapter/10.1007/978-3-031-04673-5_12,Chapter
SEED: Semantic Graph Based Deep Detection for Type-4 Clone,Reuse and Software Quality,,,,10.1007/978-3-031-08129-3_8,Zhipeng XueZhijie JiangChenlin HuangRulin XuXiangbing HuangLiumin Hu,2022,http://link.springer.com/chapter/10.1007/978-3-031-08129-3_8,Chapter
Clone Detection,Binary Code Fingerprinting for Cybersecurity,,,,10.1007/978-3-030-34238-8_8,Saed AlrabaeeMourad DebbabiParia ShiraniLingyu WangAmr YoussefAshkan RahimianLina NouhDjedjiga MouhebHe HuangAiman Hanna,2020,http://link.springer.com/chapter/10.1007/978-3-030-34238-8_8,Chapter
A comparison of code similarity analysers,Empirical Software Engineering,,23.0,4.0,10.1007/s10664-017-9564-7,Chaiyong RagkhitwetsagulJens KrinkeDavid Clark,2018,http://link.springer.com/article/10.1007/s10664-017-9564-7,Article
Restructured Cloning Vulnerability Detection Based on Function Semantic Reserving and Reiteration Screening,Computer Security – ESORICS 2020,,,,10.1007/978-3-030-58951-6_18,Weipeng JiangBin WuXingxin YuRui XueZhengmin Yu,2020,http://link.springer.com/chapter/10.1007/978-3-030-58951-6_18,Chapter
A Fine-Grained Approach for Vulnerabilities Discovery Using Augmented Vulnerability Signatures,"Knowledge Science, Engineering and Management",,,,10.1007/978-3-031-10989-8_3,Xiaoxiao ZhouWeina NiuXiaosong ZhangRuidong ChenYan Wang,2022,http://link.springer.com/chapter/10.1007/978-3-031-10989-8_3,Chapter
Cloning Vulnerability Detection in Driver Layer of IoT Devices,Information and Communications Security,,,,10.1007/978-3-030-41579-2_6,WeiPeng JiangBin WuZhou JiangShaoBo Yang,2020,http://link.springer.com/chapter/10.1007/978-3-030-41579-2_6,Chapter
Binary Analysis Overview,Binary Code Fingerprinting for Cybersecurity,,,,10.1007/978-3-030-34238-8_2,Saed AlrabaeeMourad DebbabiParia ShiraniLingyu WangAmr YoussefAshkan RahimianLina NouhDjedjiga MouhebHe HuangAiman Hanna,2020,http://link.springer.com/chapter/10.1007/978-3-030-34238-8_2,Chapter
"Definition, approaches, and analysis of code duplication detection (2006–2020): a critical review",Neural Computing and Applications,,,,10.1007/s00521-022-07707-2,Chang-Feng ChenAzlan Mohd ZainKai-Qing Zhou,2022,http://link.springer.com/article/10.1007/s00521-022-07707-2,Article
Plagiarism detection in students’ programming assignments based on semantics: multimedia e-learning based smart assessment methodology,Multimedia Tools and Applications,,79.0,13 - 14,10.1007/s11042-018-5827-6,Farhan UllahJunfeng WangMuhammad FarhanSohail JabbarZhiming WuShehzad Khalid,2020,http://link.springer.com/article/10.1007/s11042-018-5827-6,Article
Assessing lexical similarity between short sentences of source code based on granularity,International Journal of Information Technology,,11.0,3,10.1007/s41870-018-0213-1,Harpreet KaurRaman Maini,2019,http://link.springer.com/article/10.1007/s41870-018-0213-1,Article
Generalization-Driven Semantic Clone Detection in CLP,Logic-Based Program Synthesis and Transformation,,,,10.1007/978-3-030-45260-5_14,Wim VanhoofGonzague Yernaux,2020,http://link.springer.com/chapter/10.1007/978-3-030-45260-5_14,Chapter
A Proposed Model for Source Code Reuse Detection in Computer Programs,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",,45.0,3,10.1007/s40998-020-00403-8,Zahra SetoodehMohammad Reza MoosaviMostafa FakhrahmadMohammad Bidoki,2021,http://link.springer.com/article/10.1007/s40998-020-00403-8,Article
An extended version of sectional MinHash method for near-duplicate detection,The Journal of Supercomputing,,78.0,13,10.1007/s11227-022-04447-x,Mohammad-Javad ShayeganMehdi Faizollahi-Samarin,2022,http://link.springer.com/article/10.1007/s11227-022-04447-x,Article
B2SMatcher: fine-Grained version identification of open-Source software in binary files,Cybersecurity,,4.0,1,10.1186/s42400-021-00085-7,Gu BanLili XuYang XiaoXinhua LiZimu YuanWei Huo,2021,http://link.springer.com/article/10.1186/s42400-021-00085-7,Article
Interactive Near Duplicate Search in Software Documentation,Programming and Computer Software,,45.0,6,10.1134/S0361768819060045,D. V. LucivD. V. KoznovA. A. ShelikhovskiiK. Yu. RomanovskyG. A. ChernishevA. N. TerekhovD. A. GrigorievA. N. SmirnovaD. V. BorovkovA. I. Vasenina,2019,http://link.springer.com/article/10.1134/S0361768819060045,Article
Mining Source Code for Component Reuse,Mining Software Engineering Data for Software Reuse,,,,10.1007/978-3-030-30106-4_6,Themistoklis DiamantopoulosAndreas L. Symeonidis,2020,http://link.springer.com/chapter/10.1007/978-3-030-30106-4_6,Chapter
Static Program Behavior Tracing for Program Similarity Quantification,Proceedings of the First International Conference on Computational Intelligence and Informatics,,,,10.1007/978-981-10-2471-9_31,Dugyala RamanBruhadeshwar BezawadaT. V. RajinikanthSai Sathyanarayan,2017,http://link.springer.com/chapter/10.1007/978-981-10-2471-9_31,Chapter
